FullName,Recency,Frequency,Monetary,Cluster
Aakash Agarwal,0,2438,1866778.59,0
Aakash Bhatia,0,2487,1918210.49,0
Aakash Chauhan,1,2486,1933729.2,3
Aakash Desai,0,2407,1827038.52,2
Aakash Gupta,0,2582,2023881.01,3
Aakash Iyer,0,2530,1902410.87,3
Aakash Jain,0,2480,1889347.08,0
Aakash Khanna,1,2542,1952648.2,3
Aakash Kumar,0,2481,1925438.28,0
Aakash Lal,0,2475,1876499.69,0
Aakash Mehta,0,2347,1776488.89,2
Aakash Patel,0,2480,1862477.92,0
Aakash Rao,0,2482,1923799.46,0
Aakash Sharma,0,2467,1864624.84,0
Aakash Singh,1,2432,1853822.36,2
Aakash Verma,0,2406,1824699.42,2
Aakash Wadhwa,0,2493,1916255.34,0
Aakash Xavier,0,2506,1911080.73,0
Aakash Yadav,0,2475,1894206.77,0
Aakash Zutshi,0,2435,1874485.04,0
Avani Agarwal,0,2433,1894898.84,0
Avani Bhatia,0,2466,1859332.47,0
Avani Chauhan,0,2448,1925887.21,0
Avani Desai,0,2446,1834484.96,2
Avani Gupta,0,2458,1889641.22,0
Avani Iyer,0,2511,1871526.33,0
Avani Jain,0,2410,1830038.27,2
Avani Khanna,0,2470,1889185.14,0
Avani Kumar,0,2464,1832446.11,2
Avani Lal,0,2446,1832904.24,2
Avani Mehta,0,2507,1925853.71,3
Avani Patel,0,2415,1814316.5,2
Avani Rao,0,2439,1816366.53,2
Avani Sharma,0,2443,1902004.85,0
Avani Singh,0,2480,1898743.35,0
Avani Verma,0,2435,1880257.23,0
Avani Wadhwa,0,2413,1798252.85,2
Avani Xavier,0,2462,1867950.75,0
Avani Yadav,0,2497,1949285.35,3
Avani Zutshi,0,2450,1894914.62,0
Bhavesh Agarwal,0,2518,1911943.15,3
Bhavesh Bhatia,0,2455,1903076.03,0
Bhavesh Chauhan,0,2514,1937620.25,3
Bhavesh Desai,0,2491,1872033.21,0
Bhavesh Gupta,0,2366,1792032.76,2
Bhavesh Iyer,0,2436,1870072.35,0
Bhavesh Jain,0,2491,1940102.56,3
Bhavesh Khanna,0,2473,1898585.3,0
Bhavesh Kumar,0,2516,1938597.44,3
Bhavesh Lal,1,2519,1970521.01,3
Bhavesh Mehta,0,2533,1956331.38,3
Bhavesh Patel,0,2542,1912965.92,3
Bhavesh Rao,0,2493,1900902.86,0
Bhavesh Sharma,0,2504,1930748.48,3
Bhavesh Singh,0,2503,1910633.79,0
Bhavesh Verma,0,2509,1870455.93,0
Bhavesh Wadhwa,0,2469,1934508.53,0
Bhavesh Xavier,0,2482,1896403.07,0
Bhavesh Yadav,0,2428,1879461.31,0
Bhavesh Zutshi,0,2446,1867277.41,0
Diya Agarwal,0,2441,1840920.47,2
Diya Bhatia,1,2530,1928859.64,3
Diya Chauhan,0,2493,1885112.89,0
Diya Desai,0,2459,1903232.25,0
Diya Gupta,0,2545,1953057.1,3
Diya Iyer,0,2533,1997835.38,3
Diya Jain,0,2501,1874181.22,0
Diya Khanna,0,2393,1789814.02,2
Diya Kumar,0,2435,1845915.95,2
Diya Lal,0,2510,1914583.12,3
Diya Mehta,0,2510,1914111.51,3
Diya Patel,0,2465,1889307.15,0
Diya Rao,0,2399,1850126.12,2
Diya Sharma,0,2493,1914352.82,0
Diya Singh,0,2529,1914137.74,3
Diya Verma,0,2472,1891928.09,0
Diya Wadhwa,0,2452,1862725.65,0
Diya Xavier,0,2486,1933361.85,3
Diya Yadav,0,2518,1949553.58,3
Diya Zutshi,0,2521,1923884.77,3
Eeshaan Agarwal,0,2421,1857746.68,2
Eeshaan Bhatia,0,2608,1983737.06,3
Eeshaan Chauhan,0,2400,1866491.6,2
Eeshaan Desai,0,2541,1922421.44,3
Eeshaan Gupta,0,2506,1925104.6,3
Eeshaan Iyer,0,2400,1839963.04,2
Eeshaan Jain,0,2451,1926963.29,0
Eeshaan Khanna,0,2486,1909809.44,0
Eeshaan Kumar,0,2483,1881104.44,0
Eeshaan Lal,0,2542,1955114.5,3
Eeshaan Mehta,0,2473,1945823.95,3
Eeshaan Patel,0,2493,1872928.62,0
Eeshaan Rao,0,2437,1820776.29,2
Eeshaan Sharma,0,2518,1931317.88,3
Eeshaan Singh,0,2522,1904664.36,3
Eeshaan Verma,0,2480,1909247.86,0
Eeshaan Wadhwa,0,2507,1903934.52,0
Eeshaan Xavier,0,2514,1913848.58,3
Eeshaan Yadav,1,2473,1894517.81,0
Eeshaan Zutshi,0,2387,1812507.16,2
Gaurav Agarwal,0,2525,1888715.72,0
Gaurav Bhatia,0,2483,1933815.47,3
Gaurav Chauhan,0,2453,1882287.31,0
Gaurav Desai,0,2469,1913373.03,0
Gaurav Gupta,0,2536,2006498.25,3
Gaurav Iyer,0,2389,1923081.77,0
Gaurav Jain,0,2489,1904162.38,0
Gaurav Khanna,0,2463,1894396.91,0
Gaurav Kumar,0,2520,1928186.93,3
Gaurav Lal,0,2522,1905133.33,3
Gaurav Mehta,0,2438,1864549.37,0
Gaurav Patel,1,2442,1804200.8,2
Gaurav Rao,0,2410,1856122.11,2
Gaurav Sharma,0,2514,1920755.68,3
Gaurav Singh,0,2400,1781883.77,2
Gaurav Verma,0,2486,1938741.17,3
Gaurav Wadhwa,0,2472,1858414.17,0
Gaurav Xavier,0,2505,1954500.41,3
Gaurav Yadav,0,2395,1870300.31,2
Gaurav Zutshi,0,2488,1875914.49,0
Ishaan Agarwal,0,2369,1818872.76,2
Ishaan Bhatia,0,2529,1918931.24,3
Ishaan Chauhan,0,2445,1827863.48,2
Ishaan Desai,0,2502,1967432.74,3
Ishaan Gupta,0,2391,1847623.55,2
Ishaan Iyer,0,2413,1827441.1,2
Ishaan Jain,0,2465,1890390.67,0
Ishaan Khanna,0,2425,1890061.63,0
Ishaan Kumar,0,2481,1919394.82,0
Ishaan Lal,0,2451,1856399.06,0
Ishaan Mehta,0,2428,1831182.41,2
Ishaan Patel,0,2520,1884737.35,0
Ishaan Rao,0,2470,1961469.62,3
Ishaan Sharma,0,2504,1859437.03,0
Ishaan Singh,0,2403,1863525.18,2
Ishaan Verma,0,2495,1916611.13,0
Ishaan Wadhwa,0,2405,1848927.53,2
Ishaan Xavier,0,2473,1863113.4,0
Ishaan Yadav,0,2539,1970442.89,3
Ishaan Zutshi,0,2475,1925699.55,0
Jai Agarwal,0,2359,1857728.41,2
Jai Bhatia,0,2469,1891058.49,0
Jai Chauhan,0,2433,1839139.42,2
Jai Desai,0,2411,1876803.54,0
Jai Gupta,1,2502,1923097.89,3
Jai Iyer,0,2514,1942396.45,3
Jai Jain,0,2505,1875237.13,0
Jai Khanna,0,2435,1912298.24,0
Jai Kumar,0,2476,1836946.04,0
Jai Lal,0,2458,1891663.0,0
Jai Mehta,0,2475,1912242.59,0
Jai Patel,0,2438,1906241.87,0
Jai Rao,0,2437,1795933.04,2
Jai Sharma,0,2439,1818073.65,2
Jai Singh,0,2425,1800632.65,2
Jai Verma,0,2467,1870121.78,0
Jai Wadhwa,0,2511,1914640.2,3
