sale_date,product_id,quantity_sold,total_price,product_name,category,stock_quantity,unit_price,customer_id,name,created_at
2024-12-01,1,2,100.0,Milk,Dairy,500,50.0,1,Alice Johnson,2025-02-20 16:48:00
2024-12-06,1,3,150.0,Milk,Dairy,500,50.0,11,Katie Young,2025-02-20 16:48:00
2024-12-11,1,2,100.0,Milk,Dairy,500,50.0,21,Uma Thompson,2025-02-20 16:48:00
2024-12-16,1,5,250.0,Milk,Dairy,500,50.0,1,Alice Johnson,2025-02-20 16:48:00
2024-12-21,1,4,200.0,Milk,Dairy,500,50.0,11,Katie Young,2025-02-20 16:48:00
2025-01-01,1,3,150.0,Milk,Dairy,500,50.0,1,Alice Johnson,2025-02-20 16:48:00
2025-01-06,1,2,100.0,Milk,Dairy,500,50.0,11,Katie Young,2025-02-20 16:48:00
2025-01-11,1,5,250.0,Milk,Dairy,500,50.0,1,Alice Johnson,2025-02-20 16:48:00
2025-01-16,1,6,300.0,Milk,Dairy,500,50.0,17,Quinn Perez,2025-02-20 16:48:00
2025-01-21,1,2,100.0,Milk,Dairy,500,50.0,27,Amber Cox,2025-02-20 16:48:00
2025-02-05,1,4,200.0,Milk,Dairy,500,50.0,10,Jack Allen,2025-02-20 16:48:00
2025-02-10,1,6,300.0,Milk,Dairy,500,50.0,20,Thomas White,2025-02-20 16:48:00
2025-02-15,1,4,200.0,Milk,Dairy,500,50.0,9,Isabella Hall,2025-02-20 16:48:00
2025-02-20,1,5,250.0,Milk,Dairy,500,50.0,19,Sophia Martin,2025-02-20 16:48:00
2025-02-25,1,4,200.0,Milk,Dairy,500,50.0,9,Isabella Hall,2025-02-20 16:48:00
2024-11-14,1,1,50.0,Milk,Dairy,500,50.0,40,Natalie Cooper,2025-02-20 17:12:13
2024-11-30,1,1,50.0,Milk,Dairy,500,50.0,23,Wendy Garcia,2025-02-20 16:48:00
2024-11-24,1,2,100.0,Milk,Dairy,500,50.0,7,Grace Miller,2025-02-20 16:48:00
2024-11-20,1,1,50.0,Milk,Dairy,500,50.0,4,David Williams,2025-02-20 16:48:00
2024-11-30,1,1,50.0,Milk,Dairy,500,50.0,32,Fiona Harper,2025-02-20 17:12:13
2024-11-08,1,3,150.0,Milk,Dairy,500,50.0,30,Daniel Phillips,2025-02-20 16:48:00
2024-10-16,1,3,150.0,Milk,Dairy,500,50.0,10,Jack Allen,2025-02-20 16:48:00
2024-10-28,1,2,100.0,Milk,Dairy,500,50.0,18,Ryan Lewis,2025-02-20 16:48:00
2024-10-28,1,3,150.0,Milk,Dairy,500,50.0,36,Jessica Reed,2025-02-20 17:12:13
2024-09-16,1,3,150.0,Milk,Dairy,500,50.0,10,Jack Allen,2025-02-20 16:48:00
2024-09-28,1,2,100.0,Milk,Dairy,500,50.0,18,Ryan Lewis,2025-02-20 16:48:00
2024-09-01,1,2,100.0,Milk,Dairy,500,50.0,1,Alice Johnson,2025-02-20 16:48:00
2024-08-01,1,2,100.0,Milk,Dairy,500,50.0,1,Alice Johnson,2025-02-20 16:48:00
2024-08-03,1,3,150.0,Milk,Dairy,500,50.0,1,Alice Johnson,2025-02-20 16:48:00
2024-08-01,1,3,150.0,Milk,Dairy,500,50.0,1,Alice Johnson,2025-02-20 16:48:00
2024-07-06,1,4,200.0,Milk,Dairy,500,50.0,10,Jack Allen,2025-02-20 16:48:00
2024-07-31,1,2,100.0,Milk,Dairy,500,50.0,22,Victor King,2025-02-20 16:48:00
2024-12-01,2,3,90.0,Bread,Bakery,300,30.0,2,Bob Smith,2025-02-20 16:48:00
2024-12-06,2,4,120.0,Bread,Bakery,300,30.0,12,Liam Turner,2025-02-20 16:48:00
2024-12-11,2,3,90.0,Bread,Bakery,300,30.0,22,Victor King,2025-02-20 16:48:00
2024-12-16,2,6,180.0,Bread,Bakery,300,30.0,2,Bob Smith,2025-02-20 16:48:00
2024-12-21,2,1,30.0,Bread,Bakery,300,30.0,12,Liam Turner,2025-02-20 16:48:00
2025-01-01,2,4,120.0,Bread,Bakery,300,30.0,2,Bob Smith,2025-02-20 16:48:00
2025-01-06,2,1,30.0,Bread,Bakery,300,30.0,12,Liam Turner,2025-02-20 16:48:00
2025-01-11,2,6,180.0,Bread,Bakery,300,30.0,5,Emma Wilson,2025-02-20 16:48:00
2025-01-16,2,3,90.0,Bread,Bakery,300,30.0,18,Ryan Lewis,2025-02-20 16:48:00
2025-01-21,2,3,90.0,Bread,Bakery,300,30.0,28,Brian Rivera,2025-02-20 16:48:00
2025-02-01,2,3,90.0,Bread,Bakery,300,30.0,1,Alice Johnson,2025-02-20 16:48:00
2025-02-06,2,2,60.0,Bread,Bakery,300,30.0,11,Katie Young,2025-02-20 16:48:00
2025-02-15,2,2,60.0,Bread,Bakery,300,30.0,10,Jack Allen,2025-02-20 16:48:00
2025-02-20,2,6,180.0,Bread,Bakery,300,30.0,20,Thomas White,2025-02-20 16:48:00
2025-02-25,2,5,150.0,Bread,Bakery,300,30.0,10,Jack Allen,2025-02-20 16:48:00
2024-11-25,2,2,60.0,Bread,Bakery,300,30.0,4,David Williams,2025-02-20 16:48:00
2024-11-10,2,2,60.0,Bread,Bakery,300,30.0,25,Yvonne Rodriguez,2025-02-20 16:48:00
2024-11-07,2,1,30.0,Bread,Bakery,300,30.0,36,Jessica Reed,2025-02-20 17:12:13
2024-11-08,2,3,90.0,Bread,Bakery,300,30.0,16,Paul Baker,2025-02-20 16:48:00
2024-11-01,2,1,30.0,Bread,Bakery,300,30.0,14,Noah Carter,2025-02-20 16:48:00
2024-11-01,2,2,60.0,Bread,Bakery,300,30.0,2,Bob Smith,2025-02-20 16:48:00
2024-11-16,2,3,90.0,Bread,Bakery,300,30.0,21,Uma Thompson,2025-02-20 16:48:00
2024-10-19,2,1,30.0,Bread,Bakery,300,30.0,12,Liam Turner,2025-02-20 16:48:00
2024-10-01,2,3,90.0,Bread,Bakery,300,30.0,22,Victor King,2025-02-20 16:48:00
2024-10-22,2,3,90.0,Bread,Bakery,300,30.0,33,George Fisher,2025-02-20 17:12:13
2024-09-19,2,1,30.0,Bread,Bakery,300,30.0,12,Liam Turner,2025-02-20 16:48:00
